country,counterpart-area,series,time,value,series_code
Cambodia,Japan,"PPG, bilateral (AMT, current US$)",2022,13770877.4,DT.AMT.BLAT.CD
Cambodia,"Korea, Republic Of","PPG, bilateral (AMT, current US$)",2022,8296868.2,DT.AMT.BLAT.CD
Cambodia,Russian Federation,"PPG, bilateral (AMT, current US$)",2022,91555200.0,DT.AMT.BLAT.CD
Cambodia,Thailand,"PPG, bilateral (AMT, current US$)",2022,3404201.2,DT.AMT.BLAT.CD
Cambodia,Vietnam,"PPG, bilateral (AMT, current US$)",2022,0.0,DT.AMT.BLAT.CD
Cambodia,World,"PPG, bilateral (AMT, current US$)",2022,323619630.7,DT.AMT.BLAT.CD
Cameroon,Belgium,"PPG, bilateral (AMT, current US$)",2022,911776.5,DT.AMT.BLAT.CD
Cameroon,China,"PPG, bilateral (AMT, current US$)",2022,467900910.4,DT.AMT.BLAT.CD
Cameroon,France,"PPG, bilateral (AMT, current US$)",2022,129008119.5,DT.AMT.BLAT.CD
Cameroon,"Germany, Fed.Rep. Of","PPG, bilateral (AMT, current US$)",2022,2809591.5,DT.AMT.BLAT.CD
Cameroon,India,"PPG, bilateral (AMT, current US$)",2022,12003500.0,DT.AMT.BLAT.CD
Cameroon,Japan,"PPG, bilateral (AMT, current US$)",2022,47707280.5,DT.AMT.BLAT.CD
Cameroon,"Korea, Republic Of","PPG, bilateral (AMT, current US$)",2022,1708000.0,DT.AMT.BLAT.CD
Cameroon,Kuwait,"PPG, bilateral (AMT, current US$)",2022,2571033.7,DT.AMT.BLAT.CD
Cameroon,New Zealand,"PPG, bilateral (AMT, current US$)",2022,8924363.6,DT.AMT.BLAT.CD
Cameroon,Norway,"PPG, bilateral (AMT, current US$)",2022,8806424.7,DT.AMT.BLAT.CD
Cameroon,Saudi Arabia,"PPG, bilateral (AMT, current US$)",2022,2017085.9,DT.AMT.BLAT.CD
Cameroon,Spain,"PPG, bilateral (AMT, current US$)",2022,2444792.4,DT.AMT.BLAT.CD
Cameroon,Turkey,"PPG, bilateral (AMT, current US$)",2022,16985400.0,DT.AMT.BLAT.CD
Cameroon,United States,"PPG, bilateral (AMT, current US$)",2022,14872775.9,DT.AMT.BLAT.CD
Cameroon,World,"PPG, bilateral (AMT, current US$)",2022,718671054.6,DT.AMT.BLAT.CD
Central African Republic,China,"PPG, bilateral (AMT, current US$)",2022,3573780.7,DT.AMT.BLAT.CD
Central African Republic,"Congo, Rep.","PPG, bilateral (AMT, current US$)",2022,534.5,DT.AMT.BLAT.CD
Central African Republic,India,"PPG, bilateral (AMT, current US$)",2022,8643892.6,DT.AMT.BLAT.CD
Central African Republic,Kuwait,"PPG, bilateral (AMT, current US$)",2022,0.0,DT.AMT.BLAT.CD
Central African Republic,Saudi Arabia,"PPG, bilateral (AMT, current US$)",2022,0.0,DT.AMT.BLAT.CD
Central African Republic,World,"PPG, bilateral (AMT, current US$)",2022,12218207.8,DT.AMT.BLAT.CD
Chad,Angola,"PPG, bilateral (AMT, current US$)",2022,7142857.1,DT.AMT.BLAT.CD
Chad,Cameroon,"PPG, bilateral (AMT, current US$)",2022,5701186.5,DT.AMT.BLAT.CD
Chad,China,"PPG, bilateral (AMT, current US$)",2022,36281355.4,DT.AMT.BLAT.CD
Chad,Equatorial Guinea,"PPG, bilateral (AMT, current US$)",2022,16168209.2,DT.AMT.BLAT.CD
Chad,France,"PPG, bilateral (AMT, current US$)",2022,0.0,DT.AMT.BLAT.CD
Chad,India,"PPG, bilateral (AMT, current US$)",2022,6281083.3,DT.AMT.BLAT.CD
Chad,Kuwait,"PPG, bilateral (AMT, current US$)",2022,1421413.5,DT.AMT.BLAT.CD
Chad,Libya,"PPG, bilateral (AMT, current US$)",2022,29687428.6,DT.AMT.BLAT.CD
Chad,Multiple Lenders,"PPG, bilateral (AMT, current US$)",2022,1600000.0,DT.AMT.BLAT.CD
Chad,Saudi Arabia,"PPG, bilateral (AMT, current US$)",2022,137845.0,DT.AMT.BLAT.CD
Chad,World,"PPG, bilateral (AMT, current US$)",2022,104421378.6,DT.AMT.BLAT.CD
China,Belgium,"PPG, bilateral (AMT, current US$)",2022,323759.7,DT.AMT.BLAT.CD
China,Canada,"PPG, bilateral (AMT, current US$)",2022,12806729.8,DT.AMT.BLAT.CD
China,Denmark,"PPG, bilateral (AMT, current US$)",2022,133881.4,DT.AMT.BLAT.CD
China,France,"PPG, bilateral (AMT, current US$)",2022,22381322.3,DT.AMT.BLAT.CD
China,"Germany, Fed.Rep. Of","PPG, bilateral (AMT, current US$)",2022,81864262.9,DT.AMT.BLAT.CD
