indicator,date,value,iso_code,country_name
Food Inflation,2018-03-31,6.3,LSO,Lesotho
Food Inflation,2018-04-30,4.9,LSO,Lesotho
Food Inflation,2018-05-31,2.6,LSO,Lesotho
Food Inflation,2018-06-30,2.8,LSO,Lesotho
Food Inflation,2018-07-31,2.5,LSO,Lesotho
Food Inflation,2018-08-31,2.3,LSO,Lesotho
Food Inflation,2018-09-30,2.8,LSO,Lesotho
Food Inflation,2018-10-31,3.0,LSO,Lesotho
Food Inflation,2018-11-30,3.5,LSO,Lesotho
Food Inflation,2018-12-31,3.0,LSO,Lesotho
Food Inflation,2019-01-31,3.6,LSO,Lesotho
Food Inflation,2019-02-28,5.9,LSO,Lesotho
Food Inflation,2019-03-31,6.5,LSO,Lesotho
Food Inflation,2019-04-30,6.7,LSO,Lesotho
Food Inflation,2019-05-31,7.1,LSO,Lesotho
Food Inflation,2019-06-30,6.7,LSO,Lesotho
Food Inflation,2019-07-31,6.6,LSO,Lesotho
Food Inflation,2019-08-31,7.5,LSO,Lesotho
Food Inflation,2019-09-30,7.4,LSO,Lesotho
Food Inflation,2019-10-31,7.6,LSO,Lesotho
Food Inflation,2019-11-30,7.2,LSO,Lesotho
Food Inflation,2019-12-31,7.4,LSO,Lesotho
Food Inflation,2020-01-31,5.6,LSO,Lesotho
Food Inflation,2020-02-28,5.5,LSO,Lesotho
Food Inflation,2020-03-31,5.2,LSO,Lesotho
Food Inflation,2020-04-30,8.7,LSO,Lesotho
Food Inflation,2020-05-31,9.9,LSO,Lesotho
Food Inflation,2020-06-30,11.4,LSO,Lesotho
Food Inflation,2020-07-31,12.3,LSO,Lesotho
Food Inflation,2020-08-31,12.9,LSO,Lesotho
Food Inflation,2020-09-30,12.7,LSO,Lesotho
Food Inflation,2020-10-31,12.7,LSO,Lesotho
Food Inflation,2020-11-30,13.3,LSO,Lesotho
Food Inflation,2020-12-31,13.7,LSO,Lesotho
Food Inflation,2021-01-31,13.4,LSO,Lesotho
Food Inflation,2021-02-28,13.4,LSO,Lesotho
Food Inflation,2021-03-31,14.3,LSO,Lesotho
Food Inflation,2021-04-30,11.2,LSO,Lesotho
Food Inflation,2021-05-31,10.6,LSO,Lesotho
Food Inflation,2021-06-30,9.2,LSO,Lesotho
Food Inflation,2021-07-31,8.5,LSO,Lesotho
Food Inflation,2021-08-31,7.8,LSO,Lesotho
Food Inflation,2021-09-30,7.6,LSO,Lesotho
Food Inflation,2021-10-31,7.4,LSO,Lesotho
Food Inflation,2021-11-30,6.9,LSO,Lesotho
Food Inflation,2021-12-31,6.6,LSO,Lesotho
Food Inflation,2022-01-31,7.4,LSO,Lesotho
Food Inflation,2022-02-28,7.5,LSO,Lesotho
Food Inflation,2022-03-31,7.4,LSO,Lesotho
Food Inflation,2022-04-30,7.2,LSO,Lesotho
Inflation Rate,2002-01-31,31.92,LSO,Lesotho
Inflation Rate,2002-02-28,31.92,LSO,Lesotho
Inflation Rate,2002-03-31,31.92,LSO,Lesotho
Inflation Rate,2002-04-30,34.1,LSO,Lesotho
Inflation Rate,2002-05-31,34.1,LSO,Lesotho
Inflation Rate,2002-06-30,34.1,LSO,Lesotho
Inflation Rate,2002-07-31,34.04,LSO,Lesotho
Inflation Rate,2002-08-31,34.04,LSO,Lesotho
Inflation Rate,2002-09-30,34.04,LSO,Lesotho
Inflation Rate,2002-10-31,35.14,LSO,Lesotho
Inflation Rate,2002-11-30,35.14,LSO,Lesotho
Inflation Rate,2002-12-31,35.14,LSO,Lesotho
Inflation Rate,2003-01-31,10.02,LSO,Lesotho
Inflation Rate,2003-02-28,8.82,LSO,Lesotho
Inflation Rate,2003-03-31,7.72,LSO,Lesotho
Inflation Rate,2003-04-30,7.22,LSO,Lesotho
Inflation Rate,2003-05-31,6.84,LSO,Lesotho
Inflation Rate,2003-06-30,6.43,LSO,Lesotho
Inflation Rate,2003-07-31,6.92,LSO,Lesotho
Inflation Rate,2003-08-31,7.06,LSO,Lesotho
Inflation Rate,2003-09-30,6.89,LSO,Lesotho
Inflation Rate,2003-10-31,6.47,LSO,Lesotho
Inflation Rate,2003-11-30,6.01,LSO,Lesotho
